# portID	slaveID	chipID	channelID	tacID	branch	t0	a0	a1	a2
0	0	8	17	1	T	4.9028449e-02	1.2244259e+02	1.6789699e+02	-1.0000024e-02
0	0	8	17	1	E	6.2171191e-02	1.2204465e+02	1.5805833e+02	-1.0000004e-02
0	0	8	17	2	T	6.8540625e-02	1.2616541e+02	1.6767761e+02	-1.0000001e-02
0	0	8	17	2	E	4.1068286e-02	1.1772568e+02	1.5829935e+02	-1.0000004e-02
0	0	8	17	3	T	6.7880683e-02	1.2619170e+02	1.6730309e+02	-1.0000004e-02
0	0	8	17	3	E	4.7553271e-02	1.2013610e+02	1.5768239e+02	-1.0000002e-02
0	0	8	18	0	T	6.8084769e-02	1.4150604e+02	1.6813411e+02	-1.0000004e-02
0	0	8	18	0	E	6.2377185e-02	1.3082837e+02	1.6700128e+02	-1.0000001e-02
0	0	8	18	1	T	6.6783957e-02	1.2867647e+02	1.6870276e+02	-9.9999998e-03
0	0	8	18	1	E	6.2377185e-02	1.2996783e+02	1.6627538e+02	-1.0000002e-02
0	0	8	18	2	T	6.6482596e-02	1.2911023e+02	1.6868134e+02	-1.0000160e-02
0	0	8	18	2	E	5.8211535e-02	1.2916101e+02	1.6638846e+02	-1.0000012e-02
0	0	8	18	3	T	6.8199210e-02	1.3138457e+02	1.6861496e+02	-1.0000027e-02
0	0	8	18	3	E	6.1583728e-02	1.2954288e+02	1.6646465e+02	-1.0000003e-02
0	0	8	19	0	T	6.5626197e-02	1.4579602e+02	1.7058386e+02	-9.9999998e-03
0	0	8	19	0	E	6.3346118e-02	1.3793221e+02	1.6536346e+02	-1.0000001e-02
0	0	8	19	1	T	5.8975272e-02	1.2864128e+02	1.7090308e+02	-1.0000001e-02
0	0	8	19	1	E	6.1660022e-02	1.3716161e+02	1.6595697e+02	-1.0000034e-02
0	0	8	19	2	T	6.7266516e-02	1.3426236e+02	1.6999985e+02	-1.0000003e-02
0	0	8	19	2	E	4.1716784e-02	1.3307521e+02	1.6613734e+02	-1.0000071e-02
0	0	8	19	3	T	6.3680701e-02	1.3113943e+02	1.7062106e+02	-1.0000005e-02
0	0	8	19	3	E	6.2812060e-02	1.3539386e+02	1.6549771e+02	-1.0000037e-02
0	0	8	20	0	T	6.1048560e-02	1.3144566e+02	1.6566107e+02	-1.0000007e-02
0	0	8	20	0	E	4.3853015e-02	1.2676022e+02	1.6591524e+02	-1.0000305e-02
0	0	8	20	1	T	6.9107108e-02	1.2108015e+02	1.6565674e+02	-9.9999998e-03
0	0	8	20	1	E	6.2567919e-02	1.3062079e+02	1.6591307e+02	-1.0000146e-02
0	0	8	20	2	T	6.8737082e-02	1.1884919e+02	1.6550676e+02	-9.9999998e-03
0	0	8	20	2	E	6.2758654e-02	1.2731446e+02	1.6607565e+02	-1.0000044e-02
0	0	8	20	3	T	6.2496237e-02	1.1912099e+02	1.6530717e+02	-9.9999998e-03
0	0	8	20	3	E	6.3254565e-02	1.2723872e+02	1.6551649e+02	-1.0000722e-02
